"scientificName","decimalLatitude","decimalLongitude"
"Stigmatopteris alloeoptera",8.53166,-81.14583
"Stigmatopteris contracta",8.81666,-82.41666
"Stigmatopteris contracta",8.76666,-82.43333
"Stigmatopteris contracta",9.06611,-82.73222
"Stigmatopteris guianensis",9.25,-78.8333333
"Stigmatopteris heterophlebia",8.75,-82.3
"Stigmatopteris heterophlebia",8.75,-82.2166667
"Stigmatopteris heterophlebia",8.8166667,-82.21
"Stigmatopteris heterophlebia",8.8166667,-82.21
"Stigmatopteris heterophlebia",8.5833333,-81.8333333
"Stigmatopteris heterophlebia",8.7830556,-82.2061111
"Stigmatopteris heterophlebia",8.5172223,-81.7941666
"Stigmatopteris heterophlebia",9.0841666,-82.7455555
"Stigmatopteris heterophlebia",8.81888,-80.62055
"Stigmatopteris heterophlebia",8.7333333,-82.25
"Stigmatopteris heterophlebia",8.76666,-82.43333
"Stigmatopteris heterophlebia",8.73333,-82.26666
"Stigmatopteris heterophlebia",8.5238889,-81.1294445
"Stigmatopteris heterophlebia",8.8252778,-80.6236111
"Stigmatopteris heterophlebia",8.62333,-80.125
"Stigmatopteris heterophlebia",8.7791667,-82.1861111
"Stigmatopteris heterophlebia",8.7841666,-82.1811111
"Stigmatopteris heterophlebia",9.2833333,-79.2833333
"Stigmatopteris heterophlebia",8.7425,-82.2522222
"Stigmatopteris heterophlebia",8.5508333,-81.1713889
"Stigmatopteris heterophlebia",8.75,-82.21666
"Stigmatopteris heterophlebia",8.58,-81.83
"Stigmatopteris heterophlebia",8.58,-81.83
"Stigmatopteris heterophlebia",9.1634444,-82.6713889
"Stigmatopteris killipiana",8.62361,-80.12777
"Stigmatopteris killipiana",9.26694,-79.33388
"Stigmatopteris killipiana",7.9833333,-78.4166667
"Stigmatopteris killipiana",7.95,-77.76666
"Stigmatopteris lechleri",9.29722,-78.94305
"Stigmatopteris longicaudata",8.8166667,-82.2
"Stigmatopteris longicaudata",8.5166667,-81.0666667
"Stigmatopteris longicaudata",8.5166667,-81.1333333
"Stigmatopteris longicaudata",8.55,-81.8
"Stigmatopteris longicaudata",8.83333,-82.41666
"Stigmatopteris longicaudata",8.4844444,-81.7691667
"Stigmatopteris longicaudata",8.5833333,-81.8333333
"Stigmatopteris longicaudata",8.5130556,-81.115
"Stigmatopteris longicaudata",8.5575,-81.1755556
"Stigmatopteris longicaudata",8.5508333,-81.1713889
"Stigmatopteris longicaudata",8.6277778,-80.1263889
"Stigmatopteris longicaudata",8.5508333,-81.1713889
"Stigmatopteris longicaudata",8.8166667,-82.21
"Stigmatopteris longicaudata",8.6,-80.11666
"Stigmatopteris longicaudata",8.58,-81.83
"Stigmatopteris longicaudata",8.58,-81.83
"Stigmatopteris michaelis",9.31666,-78.91666
"Stigmatopteris michaelis",9.33333,-78.93333
"Stigmatopteris michaelis",9.28888,-78.93472
"Stigmatopteris michaelis",9.32,-78.92
"Stigmatopteris sordida",8.7833333,-80.4666667
"Stigmatopteris sordida",9.20138,-79.7875
"Stigmatopteris sordida",9.15,-79.85
